"","","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)","Crude suicide rates (per 100 000 population)"
"Latvia"," Male","37.6","37.4","42.3","46.2","60.4"
"Latvia"," Female","7.3","8.2","6.0","10.2","12.9"
"Lebanon"," Both sexes","3.3","3.3","3.2","3.1","3.0"
"Lebanon"," Male","4.2","4.2","3.9","3.9","4.0"
"Lebanon"," Female","2.4","2.4","2.5","2.3","2.1"
"Lesotho"," Both sexes","21.2","21.0","20.1","18.6","18.0"
"Lesotho"," Male","17.8","17.6","16.8","15.4","14.6"
"Lesotho"," Female","24.4","24.1","23.2","21.5","21.2"
"Liberia"," Both sexes","6.8","6.5","6.5","6.8","5.7"
"Liberia"," Male","7.1","6.7","6.8","7.1","6.6"
"Liberia"," Female","6.6","6.3","6.1","6.6","4.7"
"Libya"," Both sexes","5.2","4.2","5.4","5.6","5.3"
"Libya"," Male","8.1","6.3","8.3","8.3","7.7"
"Libya"," Female","2.2","2.0","2.4","2.7","2.7"
"Lithuania"," Both sexes","31.9","34.9","37.3","43.9","50.7"
"Lithuania"," Male","58.1","61.7","66.1","77.6","87.2"
"Lithuania"," Female","9.5","11.9","12.8","14.7","18.7"
"Luxembourg"," Both sexes","13.5","14.7","12.9","14.3","16.8"
"Luxembourg"," Male","18.6","21.4","18.2","21.7","23.4"
"Luxembourg"," Female","8.3","7.9","7.7","7.1","10.3"
"Madagascar"," Both sexes","3.9","4.0","4.3","4.5","4.7"
"Madagascar"," Male","5.6","5.7","6.2","6.4","6.5"
"Madagascar"," Female","2.2","2.2","2.5","2.7","2.8"
"Malawi"," Both sexes","3.7","3.6","3.8","4.5","6.2"
"Malawi"," Male","5.8","5.7","6.1","7.2","10.2"
"Malawi"," Female","1.6","1.6","1.6","1.8","2.4"
"Malaysia"," Both sexes","5.5","5.4","5.1","5.4","5.3"
"Malaysia"," Male","7.8","7.6","7.3","7.7","7.5"
"Malaysia"," Female","3.2","3.1","2.8","2.9","3.1"
"Maldives"," Both sexes","2.3","2.6","3.2","3.3","4.4"
"Maldives"," Male","3.0","3.5","4.1","4.3","5.4"
"Maldives"," Female","1.3","1.5","2.0","2.1","3.4"
"Mali"," Both sexes","4.8","4.8","4.8","4.9","5.5"
"Mali"," Male","6.9","6.9","7.0","7.2","7.8"
"Mali"," Female","2.7","2.7","2.7","2.7","3.2"
"Malta"," Both sexes","7.5","8.0","8.0","5.6","6.5"
"Malta"," Male","12.1","12.6","13.6","8.1","10.0"
"Malta"," Female","2.8","3.3","2.5","3.1","3.0"
"Mauritania"," Both sexes","4.4","4.3","3.9","3.5","3.4"
"Mauritania"," Male","6.6","6.4","5.8","5.3","5.1"
"Mauritania"," Female","2.2","2.1","1.9","1.7","1.7"
"Mauritius"," Both sexes","7.8","8.5","8.1","8.8","11.1"
"Mauritius"," Male","13.3","12.8","12.7","13.7","17.6"
"Mauritius"," Female","2.4","4.2","3.6","3.9","4.7"
"Mexico"," Both sexes","5.1","5.6","4.6","4.3","3.6"
"Mexico"," Male","8.0","8.8","7.4","7.1","6.1"
"Mexico"," Female","2.3","2.4","1.9","1.5","1.1"
"Micronesia (Federated States of)"," Both sexes","11.1","11.4","11.1","11.9","10.8"
"Micronesia (Federated States of)"," Male","15.8","16.1","15.3","16.2","14.0"
"Micronesia (Federated States of)"," Female","6.3","6.5","6.7","7.6","7.5"
"Mongolia"," Both sexes","13.0","13.1","16.6","17.1","17.9"
"Mongolia"," Male","22.6","22.8","28.5","28.3","28.2"
"Mongolia"," Female","3.5","3.7","4.9","6.0","7.6"
"Montenegro"," Both sexes","10.3","10.0","10.4","11.4","10.4"
"Montenegro"," Male","15.4","14.9","15.2","16.4","14.3"
"Montenegro"," Female","5.3","5.2","5.7","6.6","6.7"
"Morocco"," Both sexes","2.9","2.9","3.7","5.3","6.9"
"Morocco"," Male","2.3","2.3","2.7","4.2","5.8"
"Morocco"," Female","3.4","3.6","4.7","6.3","8.1"
"Mozambique"," Both sexes","4.9","4.9","5.6","6.7","8.8"
"Mozambique"," Male","7.4","7.4","8.2","9.8","13.2"
"Mozambique"," Female","2.5","2.6","3.0","3.8","4.8"
"Myanmar"," Both sexes","7.8","7.6","7.3","7.7","7.3"
"Myanmar"," Male","5.9","5.8","5.6","5.4","4.2"
"Myanmar"," Female","9.5","9.3","8.9","9.9","10.2"
"Namibia"," Both sexes","8.7","9.0","10.4","10.4","10.9"
"Namibia"," Male","14.1","14.5","16.9","16.9","17.8"
"Namibia"," Female","3.6","3.8","4.3","4.2","4.3"
"Nepal"," Both sexes","8.8","9.1","10.5","12.5","15.4"
"Nepal"," Male","9.7","10.0","10.7","13.0","16.8"
"Nepal"," Female","7.9","8.3","10.2","12.0","14.0"
"Netherlands"," Both sexes","12.6","12.5","10.0","9.9","9.8"
"Netherlands"," Male","16.2","16.0","14.0","13.5","13.1"
"Netherlands"," Female","9.0","9.0","6.0","6.4","6.5"
"New Zealand"," Both sexes","12.1","12.1","13.0","13.3","12.9"
"New Zealand"," Male","17.9","17.9","18.6","19.7","21.2"
"New Zealand"," Female","6.6","6.6","7.5","7.1","5.0"
"Nicaragua"," Both sexes","12.2","12.2","12.5","14.4","17.2"
"Nicaragua"," Male","19.3","19.3","19.3","21.8","26.2"
"Nicaragua"," Female","5.3","5.4","5.9","7.1","8.4"
"Niger"," Both sexes","4.6","4.7","4.9","4.9","4.6"
"Niger"," Male","5.9","6.0","6.1","6.1","5.6"
"Niger"," Female","3.3","3.3","3.6","3.7","3.5"
"Nigeria"," Both sexes","9.5","9.6","10.0","9.6","10.2"
"Nigeria"," Male","9.9","9.7","9.0","9.2","9.3"
"Nigeria"," Female","9.2","9.5","10.9","10.1","11.0"
"Norway"," Both sexes","12.2","12.4","12.6","12.7","13.3"
"Norway"," Male","15.9","15.6","16.5","16.5","19.5"
"Norway"," Female","8.4","9.1","8.6","8.9","7.1"
"Oman"," Both sexes","3.9","4.1","3.7","3.4","4.3"
"Oman"," Male","5.6","5.9","5.5","5.3","6.6"
"Oman"," Female","0.8","0.8","0.8","0.9","1.2"
"Pakistan"," Both sexes","2.9","2.9","3.1","3.5","3.4"
"Pakistan"," Male","2.7","2.8","2.8","3.0","2.9"
"Pakistan"," Female","3.0","3.1","3.4","4.1","4.0"
"Panama"," Both sexes","4.3","3.9","5.1","6.3","6.0"
"Panama"," Male","7.4","6.5","8.6","10.7","10.4"
"Panama"," Female","1.2","1.3","1.5","1.8","1.6"
"Papua New Guinea"," Both sexes","6.0","6.0","5.4","5.8","7.1"
"Papua New Guinea"," Male","8.6","8.5","7.6","8.1","9.8"
"Papua New Guinea"," Female","3.3","3.4","3.2","3.4","4.3"
"Paraguay"," Both sexes","9.5","9.9","9.3","10.1","10.1"
"Paraguay"," Male","12.4","13.0","12.2","13.3","13.9"
"Paraguay"," Female","6.5","6.6","6.3","6.8","6.3"
"Peru"," Both sexes","4.9","4.9","4.6","4.6","5.1"
"Peru"," Male","7.2","7.2","6.7","6.6","7.3"
"Peru"," Female","2.7","2.7","2.5","2.6","2.9"
"Philippines"," Both sexes","3.2","3.2","3.3","2.6","2.5"
"Philippines"," Male","4.3","4.5","4.7","3.7","3.5"
"Philippines"," Female","2.0","2.0","1.9","1.5","1.6"
"Poland"," Both sexes","16.2","15.8","18.6","17.7","16.9"
"Poland"," Male","28.9","28.4","33.4","31.1","29.0"
"Poland"," Female","4.3","4.1","4.8","5.2","5.5"
"Portugal"," Both sexes","14.0","13.8","13.5","11.1","7.5"
"Portugal"," Male","22.2","22.0","21.1","17.4","12.2"
"Portugal"," Female","6.5","6.4","6.6","5.2","3.0"
"Qatar"," Both sexes","6.6","6.5","6.1","3.2","3.4"
"Qatar"," Male","8.5","8.3","7.7","4.4","4.7"
"Qatar"," Female","0.9","0.9","0.9","0.8","1.1"
"Republic of Korea"," Both sexes","26.9","28.3","34.1","26.8","14.8"
"Republic of Korea"," Male","38.4","39.9","45.1","35.7","20.3"
"Republic of Korea"," Female","15.4","16.5","23.1","17.8","9.3"
"Republic of Moldova"," Both sexes","15.9","16.4","20.9","19.2","16.4"
"Republic of Moldova"," Male","27.9","28.5","37.0","33.8","29.4"
"Republic of Moldova"," Female","4.7","5.2","5.9","5.8","4.5"
"Romania"," Both sexes","10.4","11.6","14.0","12.5","13.2"
"Romania"," Male","17.9","20.3","23.9","20.9","22.1"
"Romania"," Female","3.3","3.5","4.8","4.4","4.8"
"Russian Federation"," Both sexes","31.0","32.1","40.0","51.6","52.6"
"Russian Federation"," Male","55.9","57.8","71.7","92.5","93.5"
"Russian Federation"," Female","9.4","9.9","12.5","16.0","16.5"
"Rwanda"," Both sexes","6.7","6.8","7.5","10.9","15.6"
"Rwanda"," Male","9.7","9.7","10.7","14.0","19.0"
"Rwanda"," Female","3.8","3.9","4.5","7.9","12.4"
"Saint Lucia"," Both sexes","7.8","7.8","6.1","3.0","6.4"
"Saint Lucia"," Male","13.5","13.6","10.8","6.1","10.9"
"Saint Lucia"," Female","2.2","2.2","1.6","0.0","2.1"
"Saint Vincent and the Grenadines"," Both sexes","2.4","2.7","3.3","9.9","6.3"
"Saint Vincent and the Grenadines"," Male","3.9","4.4","6.0","16.7","11.5"
"Saint Vincent and the Grenadines"," Female","0.9","1.0","0.6","2.9","0.9"
"Samoa"," Both sexes","4.4","4.5","5.0","6.5","8.3"
"Samoa"," Male","6.7","6.8","7.8","10.0","12.6"
"Samoa"," Female","1.9","1.9","2.1","2.7","3.6"
"Sao Tome and Principe"," Both sexes","2.3","2.3","2.0","1.8","2.0"
"Sao Tome and Principe"," Male","3.0","3.0","2.7","2.4","2.7"
"Sao Tome and Principe"," Female","1.6","1.5","1.4","1.2","1.3"
"Saudi Arabia"," Both sexes","3.2","3.2","3.4","3.0","2.8"
"Saudi Arabia"," Male","4.5","4.4","5.0","4.4","4.2"
"Saudi Arabia"," Female","1.5","1.5","1.4","1.2","1.1"
"Senegal"," Both sexes","6.0","6.2","6.9","8.1","7.7"
"Senegal"," Male","9.3","9.6","10.4","12.0","11.4"
"Senegal"," Female","2.9","3.0","3.6","4.3","4.1"
"Serbia"," Both sexes","15.6","15.0","15.9","18.8","21.0"
"Serbia"," Male","23.5","22.3","23.9","26.8","29.8"
"Serbia"," Female","8.1","8.1","8.2","11.2","12.5"
"Seychelles"," Both sexes","9.3","9.4","9.4","9.1","8.7"
"Seychelles"," Male","16.4","16.5","15.9","15.8","15.0"
"Seychelles"," Female","2.4","2.5","2.5","2.5","2.5"
"Sierra Leone"," Both sexes","9.7","9.3","9.2","10.4","11.1"
"Sierra Leone"," Male","11.3","10.8","10.8","12.7","13.2"
"Sierra Leone"," Female","8.1","7.9","7.7","8.2","9.1"
"Singapore"," Both sexes","9.9","9.0","10.0","11.6","12.4"
"Singapore"," Male","13.8","12.1","13.0","15.7","16.2"
"Singapore"," Female","6.1","6.1","7.0","7.6","8.7"
"Slovakia"," Both sexes","12.8","12.8","13.9","13.8","14.4"
"Slovakia"," Male","22.7","22.6","24.4","24.3","24.2"
"Slovakia"," Female","3.5","3.5","3.9","3.9","5.1"
"Slovenia"," Both sexes","18.6","21.0","20.7","27.1","32.4"
"Slovenia"," Male","30.4","33.3","34.0","42.9","48.0"
"Slovenia"," Female","6.9","8.9","7.6","12.0","17.6"
"Solomon Islands"," Both sexes","4.7","4.9","5.8","7.6","11.2"
"Solomon Islands"," Male","6.8","7.0","8.0","10.3","14.5"
"Solomon Islands"," Female","2.6","2.7","3.4","4.8","7.7"
"Somalia"," Both sexes","4.7","4.7","4.3","4.8","4.7"
"Somalia"," Male","6.3","6.3","5.7","6.5","6.2"
"Somalia"," Female","3.1","3.1","2.9","3.2","3.2"
"South Africa"," Both sexes","11.6","11.8","12.2","11.8","11.6"
"South Africa"," Male","18.7","19.0","19.2","18.2","17.7"
"South Africa"," Female","4.7","4.8","5.4","5.6","5.7"
"South Sudan"," Both sexes","3.7","3.7","4.1","4.6","4.8"
"South Sudan"," Male","4.9","4.7","5.4","6.1","6.3"
"South Sudan"," Female","2.6","2.6","2.8","3.1","3.2"
"Spain"," Both sexes","8.7","8.1","7.0","8.1","8.6"
"Spain"," Male","13.1","12.0","10.9","12.2","13.1"
"Spain"," Female","4.5","4.3","3.2","4.2","4.3"
"Sri Lanka"," Both sexes","14.6","14.8","19.1","23.1","28.8"
"Sri Lanka"," Male","23.5","24.0","30.4","37.0","44.5"
"Sri Lanka"," Female","6.4","6.2","8.3","9.6","13.2"
"Sudan"," Both sexes","8.1","8.0","8.0","8.4","7.9"
"Sudan"," Male","12.2","12.1","11.9","12.7","12.0"
"Sudan"," Female","4.0","4.0","4.0","4.1","3.8"
"Suriname"," Both sexes","22.8","23.8","27.0","26.5","23.5"
"Suriname"," Male","34.7","36.3","40.9","42.1","36.4"
"Suriname"," Female","10.9","11.3","13.0","10.7","10.4"
"Sweden"," Both sexes","14.8","15.7","15.3","16.4","15.6"
"Sweden"," Male","19.1","20.9","21.0","21.6","20.5"
"Sweden"," Female","10.5","10.5","9.5","11.2","10.8"
"Switzerland"," Both sexes","17.2","17.1","16.2","20.8","21.8"
"Switzerland"," Male","22.0","22.0","21.1","27.0","29.7"
"Switzerland"," Female","12.4","12.3","11.4","14.8","14.2"
"Syrian Arab Republic"," Both sexes","1.9","1.9","1.9","1.6","1.3"
"Syrian Arab Republic"," Male","2.9","2.9","3.0","2.5","2.1"
"Syrian Arab Republic"," Female","0.9","0.9","0.8","0.6","0.6"
"Tajikistan"," Both sexes","2.5","2.5","2.5","2.9","3.0"
"Tajikistan"," Male","3.7","3.7","3.6","4.2","4.3"
"Tajikistan"," Female","1.3","1.3","1.3","1.6","1.6"
"Thailand"," Both sexes","14.4","14.6","14.3","12.7","16.2"
"Thailand"," Male","23.4","23.6","22.6","19.4","24.2"
"Thailand"," Female","5.9","5.9","6.4","6.2","8.4"
"Republic of North Macedonia"," Both sexes","7.9","7.8","5.9","7.2","7.7"
"Republic of North Macedonia"," Male","11.9","11.7","8.4","10.4","10.7"
"Republic of North Macedonia"," Female","3.9","3.9","3.4","4.0","4.6"
"Timor-Leste"," Both sexes","4.6","4.6","5.3","6.2","9.3"
"Timor-Leste"," Male","6.2","6.2","7.3","8.3","12.7"
"Timor-Leste"," Female","2.9","2.9","3.3","4.0","5.9"
"Togo"," Both sexes","9.6","9.4","9.5","9.9","9.6"
"Togo"," Male","12.8","12.5","12.9","13.3","12.8"
"Togo"," Female","6.4","6.2","6.2","6.6","6.5"
"Tonga"," Both sexes","3.5","3.5","3.6","3.4","3.6"
"Tonga"," Male","4.3","4.2","4.3","4.0","3.9"
"Tonga"," Female","2.7","2.7","2.8","2.9","3.3"
"Trinidad and Tobago"," Both sexes","13.6","13.6","14.5","12.3","14.9"
"Trinidad and Tobago"," Male","23.0","22.9","23.6","19.4","23.3"
"Trinidad and Tobago"," Female","4.5","4.5","5.6","5.4","6.5"
"Tunisia"," Both sexes","3.4","3.4","3.6","3.6","3.5"
"Tunisia"," Male","4.4","4.5","5.0","5.1","4.9"
"Tunisia"," Female","2.3","2.3","2.3","2.2","2.1"
"Turkey"," Both sexes","7.3","7.3","8.4","7.6","7.2"
"Turkey"," Male","11.4","11.4","13.1","12.2","11.5"
"Turkey"," Female","3.3","3.4","3.8","3.2","2.9"
"Turkmenistan"," Both sexes","6.7","7.2","7.6","11.7","9.1"
"Turkmenistan"," Male","10.1","10.8","11.7","18.8","14.6"
"Turkmenistan"," Female","3.5","3.6","3.7","4.8","3.7"
"Uganda"," Both sexes","9.9","9.9","10.5","10.5","11.1"
"Uganda"," Male","10.7","10.6","10.6","10.6","11.0"
"Uganda"," Female","9.1","9.3","10.4","10.4","11.3"
"Ukraine"," Both sexes","22.4","23.1","27.1","34.5","36.9"
"Ukraine"," Male","41.1","42.0","48.9","62.0","65.1"
"Ukraine"," Female","6.3","6.8","8.4","10.7","12.3"
"United Arab Emirates"," Both sexes","2.8","2.8","3.0","3.1","3.2"
"United Arab Emirates"," Male","3.6","3.6","3.8","4.1","4.2"
"United Arab Emirates"," Female","0.7","0.7","0.7","1.0","1.1"
"United Kingdom of Great Britain and Northern Ireland"," Both sexes","8.9","8.7","7.8","8.2","9.1"
"United Kingdom of Great Britain and Northern Ireland"," Male","13.5","13.1","11.9","12.0","13.7"
"United Kingdom of Great Britain and Northern Ireland"," Female","4.4","4.5","3.9","4.5","4.8"
"United Republic of Tanzania"," Both sexes","5.4","5.4","5.3","5.5","6.9"
"United Republic of Tanzania"," Male","7.7","7.6","7.5","7.9","10.0"
"United Republic of Tanzania"," Female","3.2","3.2","3.1","3.2","3.8"
"United States of America"," Both sexes","15.3","15.0","13.2","11.9","11.3"
"United States of America"," Male","23.6","23.0","20.7","18.6","17.9"
"United States of America"," Female","7.2","7.1","5.9","5.4","4.9"
"Uruguay"," Both sexes","18.4","19.4","16.6","15.3","17.4"
"Uruguay"," Male","29.2","31.4","26.3","24.2","29.4"
"Uruguay"," Female","8.3","8.2","7.5","7.0","6.1"
"Uzbekistan"," Both sexes","7.4","7.4","6.0","5.8","7.6"
"Uzbekistan"," Male","9.9","10.0","8.3","8.9","11.3"
"Uzbekistan"," Female","4.8","4.8","3.6","2.8","4.0"
"Vanuatu"," Both sexes","4.5","4.5","5.1","5.7","7.3"
"Vanuatu"," Male","6.6","6.8","7.5","8.3","10.2"
"Vanuatu"," Female","2.2","2.3","2.6","3.0","4.3"
"Venezuela (Bolivarian Republic of)"," Both sexes","3.7","3.8","4.3","5.9","8.0"
"Venezuela (Bolivarian Republic of)"," Male","6.3","6.4","7.2","9.7","13.8"
"Venezuela (Bolivarian Republic of)"," Female","1.1","1.2","1.5","2.1","2.2"
"Viet Nam"," Both sexes","7.3","7.2","7.0","6.7","6.7"
"Viet Nam"," Male","10.9","10.8","10.5","10.1","10.0"
"Viet Nam"," Female","3.7","3.7","3.6","3.5","3.6"
"Yemen"," Both sexes","8.5","8.6","8.8","8.1","6.8"
"Yemen"," Male","11.3","11.4","11.8","11.0","9.2"
"Yemen"," Female","5.6","5.7","5.7","5.1","4.2"
"Zambia"," Both sexes","6.1","6.1","6.3","6.5","8.1"
"Zambia"," Male","8.8","8.7","9.0","9.3","11.8"
"Zambia"," Female","3.5","3.5","3.6","3.8","4.6"
"Zimbabwe"," Both sexes","10.7","10.6","11.9","13.9","12.9"
"Zimbabwe"," Male","15.7","15.5","18.1","21.7","20.6"
"Zimbabwe"," Female","6.0","6.0","6.1","6.4","5.5"
